id,han,chars
937,"duệ","叡"
938,"tùng","叢"
939,"khẩu","口"
940,"cổ","古"
941,"câu","句"
942,"cú","句"
943,"lánh","另"
944,"đao","叨"
945,"phao","叨"
946,"thao","叨"
947,"khấu","叩"
948,"chỉ","只"
949,"xích","只"
950,"khiếu","叫"
951,"thiệu","召"
952,"triệu","召"
953,"bá","叭"
954,"bát","叭"
955,"đinh","叮"
956,"khả","可"
957,"khắc","可"
958,"đài","台"
959,"thai","台"
960,"sất","叱"
961,"sử","史"
962,"hữu","右"
963,"phả","叵"
964,"ti","司"
965,"tư","司"
966,"ty","司"
967,"điêu","叼"
968,"thao","叼"
969,"hu","吁"
970,"cật","吃"
971,"ngật","吃"
972,"các","各"
973,"ao","吆"
974,"yêu","吆"
975,"hợp","合"
976,"cát","吉"
977,"điếu","吊"
978,"thốn","吋"
979,"đồng","同"
980,"danh","名"
981,"hậu","后"
982,"lại","吏"
983,"thổ","吐"
984,"hướng","向"
985,"tra","吒"
986,"trá","吒"
987,"toạ","吙"
988,"quân","君"
989,"lận","吝"
990,"thôn","吞"
991,"ngâm","吟"
992,"phệ","吠"
993,"bỉ","否"
994,"bĩ","否"
995,"phủ","否"
996,"ba","吧"
997,"đồn","吨"
998,"phân","吩"
999,"ngoa","吪"
1000,"hàm","含"
1001,"thính","听"
1002,"hàng","吭"
1003,"duyện","吮"
1004,"chi","吱"
1005,"ngô","吳"
1006,"sao","吵"
1007,"sảo","吵"
1008,"nột","吶"
1009,"hấp","吸"
1010,"xuy","吹"
1011,"vẫn","吻"
1012,"hống","吼"
1013,"hồng","吽"
1014,"ngô","吾"
1015,"nha","呀"
1016,"lã","呂"
1017,"lữ","呂"
1018,"ách","呃"
1019,"ngai","呆"
1020,"ngốc","呆"
1021,"trình","呈"
1022,"cáo","告"
1023,"xích","呎"
1024,"nê","呢"
1025,"ni","呢"
1026,"u","呦"
1027,"ưu","呦"
1028,"thánh","呧"
1029,"chu","周"
1030,"chiếp","呫"
1031,"oa","呱"
1032,"từ","呲"
1033,"vị","味"
1034,"hu","呴"
1035,"ha","呵"
1036,"kha","呵"
1037,"nao","呶"
1038,"hạp","呷"
1039,"háp","呷"
1040,"phi","呸"
1041,"phôi","呸"
1042,"thân","呻"
1043,"hô","呼"
1044,"mệnh","命"
1045,"thư","咀"
1046,"trớ","咀"
1047,"táp","咂"
1048,"đốt","咄"
1049,"bao","咆"
1050,"bào","咆"
1051,"phất","咈"
1052,"tạc","咋"
1053,"trách","咋"
1054,"hoà","和"
1055,"cữu","咎"
1056,"phó","咐"
1057,"chú","咒"
1058,"cô","咕"
1059,"cổ","咕"
1060,"ca","咖"
1061,"già","咖"
1062,"đông","咚"
1063,"điệt","咥"
1064,"hý","咥"
1065,"di","咦"
1066,"liệt","咧"
1067,"tư","咨"
1068,"dương","咩"
1069,"miết","咩"
1070,"mễ","咪"
1071,"mi","咪"
1072,"chỉ","咫"
1073,"giảo","咬"
1074,"chú","咮"
1075,"phụ","咮"
1076,"cách","咯"
1077,"khạc","咯"
1078,"cha","咱"
1079,"tự","咱"
1080,"khai","咳"
1081,"khải","咳"
1082,"khái","咳"
1083,"trượng","咶"
1084,"đào","咷"
1085,"điêu","咷"
1086,"hàm","咸"
1087,"hưu","咻"
1088,"oa","咼"
1089,"yết","咽"
1090,"y","咿"
1091,"ai","哀"
1092,"phẩm","品"
1093,"sấn","哂"
1094,"tây","哂"
1095,"thẩn","哂"
1096,"hồng","哄"
1097,"hống","哄"
1098,"đa","哆"
1099,"oa","哇"
1100,"cáp","哈"
1101,"tai","哉"
1102,"ai","哎"
1103,"ngải","哎"
1104,"ngân","哏"
1105,"uấn","員"
1106,"viên","員"
1107,"lộng","哢"
1108,"ca","哥"
1109,"nga","哦"
1110,"xích","哧"
1111,"sáo","哨"
1112,"tiếu","哨"
1113,"li","哩"
1114,"lí","哩"
1115,"ly","哩"
1116,"lý","哩"
1117,"na","哪"
1118,"ná","哪"
1119,"khốc","哭"
1120,"hao","哮"
1121,"triết","哲"
1122,"chiết","哳"
1123,"bộ","哺"
1124,"bổ","哺"
1125,"hanh","哼"
1126,"cánh","哽"
1127,"ngạnh","哽"
1128,"ca","哿"
1129,"ngạn","唁"
1130,"nghiễn","唁"
1131,"bái","唄"
1132,"bối","唄"
1133,"toa","唆"
1134,"thần","唇"
1135,"ấp","唈"
1136,"ai","唉"
1137,"ái","唉"
1138,"hi","唏"
1139,"hí","唏"
1140,"hy","唏"
1141,"đường","唐"
1142,"ngô","唔"
1143,"tẩu","唗"
1144,"tức","唧"
1145,"phủng","唪"
1146,"hổ","唬"
1147,"thụ","售"
1148,"duy","唯"
1149,"xướng","唱"
1150,"lệ","唳"
1151,"úm","唵"
1152,"thùng","唶"
1153,"niệm","唸"
1154,"thoá","唾"
1155,"châu","啁"
1156,"chu","啁"
1157,"trù","啁"
1158,"khẩn","啃"
1159,"trác","啄"
1160,"thương","商"
1161,"hanh","啈"
1162,"a","啊"
1163,"vấn","問"
1164,"thối","啐"
1165,"xiệp","啑"
1166,"đào","啕"
1167,"đạm","啖"
1168,"đạm","啗"
1169,"chuyết","啜"
1170,"xuyết","啜"
1171,"ách","啞"
1172,"á","啞"
1173,"nha","啞"
1174,"khải","啟"
1175,"phê","啡"
1176,"phi","啡"
1177,"lưỡng","啢"
1178,"hàm","啣"
1179,"ti","啤"
1180,"tỉ","啤"
1181,"ty","啤"
1182,"tỷ","啤"
1183,"xả","啥"
1184,"lạp","啦"
1185,"lạt","啦"
1186,"phách","啪"
1187,"lang","啷"
1188,"thí","啻"
1189,"xí","啻"
1190,"đề","啼"
1191,"thu","啾"
1192,"ca","喀"
1193,"khách","喀"
1194,"ngung","喁"
1195,"uy","喂"
1196,"uỷ","喂"
1197,"nam","喃"
1198,"nôm","喃"
1199,"thiện","善"
1200,"lạt","喇"
1201,"thích","喇"
1202,"dê","喈"
1203,"giai","喈"
1204,"hầu","喉"
1205,"hàm","喊"
1206,"hảm","喊"
1207,"điệp","喋"
1208,"oa","喎"
1209,"nhạ","喏"
1210,"âm","喑"
1211,"tàm","喒"
1212,"ác","喔"
1213,"ốc","喔"
1214,"suyễn","喘"
1215,"uế","喙"
1216,"hoán","喚"
1217,"hỉ","喜"
1218,"hỷ","喜"
1219,"hát","喝"
1220,"vị","喟"
1221,"hủ","喣"
1222,"hoàng","喤"
1223,"huỳnh","喤"
1224,"huyên","喧"
1225,"lượng","喨"
1226,"tang","喪"
1227,"táng","喪"
1228,"khiết","喫"
1229,"kiều","喬"
1230,"đan","單"
1231,"đơn","單"
1232,"thiền","單"
1233,"thiện","單"
1234,"li","喱"
1235,"ly","喱"
1236,"ước","喲"
1237,"tra","喳"
1238,"miêu","喵"
1239,"dụ","喻"
1240,"dao","嗂"
1241,"hạc","嗃"
1242,"hác","嗃"
1243,"hạ","嗄"
1244,"sạ","嗄"
1245,"sá","嗄"
1246,"khứu","嗅"
1247,"xú","嗅"
1248,"sang","嗆"
1249,"thương","嗆"
1250,"thướng","嗆"
1251,"sắc","嗇"
1252,"tố","嗉"
1253,"ách","嗌"
1254,"ải","嗌"
1255,"ích","嗌"
1256,"ma","嗎"
1257,"mạ","嗎"
1258,"mã","嗎"
1259,"chà","嗏"
1260,"hại","嗐"
1261,"hạp","嗑"
1262,"tháp","嗒"
1263,"tang","嗓"
1264,"tảng","嗓"
1265,"sân","嗔"
1266,"sưu","嗖"
1267,"bảng","嗙"
1268,"ô","嗚"
1269,"hàm","嗛"
1270,"kì","嗜"
1271,"kỳ","嗜"
1272,"thị","嗜"
1273,"cách","嗝"
1274,"ta","嗟"
1275,"hấp","嗡"
1276,"ông","嗡"
1277,"ốt","嗢"
1278,"tự","嗣"
1279,"suỷ","嗤"
1280,"xi","嗤"
1281,"xuy","嗤"
1282,"cao","嗥"
1283,"hào","嗥"
1284,"tạo","嗥"
1285,"sách","嗦"
1286,"toả","嗩"
1287,"yết","嗯"
1288,"cao","嗶"
1289,"tất","嗶"
1290,"ngao","嗷"
1291,"cấn","嗺"
1292,"thấu","嗽"
1293,"thốc","嗾"
1294,"tộc","嗾"
1295,"đích","嘀"
1296,"thương","嘀"
1297,"dẫn","嘂"
1298,"thán","嘆"
1299,"tao","嘈"
1300,"tào","嘈"
1301,"gia","嘉"
1302,"phiếu","嘌"
1303,"lâu","嘍"
1304,"lũ","嘍"
1305,"ca","嘎"
1306,"hỗ","嘏"
1307,"liêu","嘐"
1308,"uế","嘒"
1309,"úng","嘒"
1310,"quắc","嘓"
1311,"ẩu","嘔"
1312,"sách","嘖"
1313,"trách","嘖"
1314,"thường","嘗"
1315,"ma","嘛"
1316,"đô","嘟"
1317,"hoa","嘩"
1318,"soái","嘬"
1319,"toát","嘬"
1320,"lao","嘮"
1321,"lạo","嘮"
1322,"khiếu","嘯"
1323,"cơ","嘰"
1324,"ki","嘰"
1325,"ky","嘰"
1326,"trao","嘲"
1327,"trào","嘲"
1328,"chuỷ","嘴"
1329,"hiêu","嘵"
1330,"tê","嘶"
1331,"liêu","嘹"
1332,"liệu","嘹"
1333,"hi","嘻"
1334,"hy","嘻"
1335,"quắc","嘽"
1336,"hắc","嘿"
1337,"tốn","噀"
1338,"đạm","噉"
1339,"tăng","噌"
1340,"ế","噎"
1341,"hư","噓"
1342,"khư","噓"
1343,"bộc","噗"
1344,"phốc","噗"
1345,"quyết","噘"
1346,"cầm","噙"
1347,"áo","噢"
1348,"úc","噢"
1349,"cấm","噤"
1350,"nông","噥"
1351,"uyết","噦"
1352,"khí","器"
1353,"ngạc","噩"
1354,"táo","噪"
1355,"thao","噪"
1356,"y","噫"
1357,"phệ","噬"
1358,"khiếu","噭"
1359,"kiểu","噭"
1360,"ái","噯"
1361,"cự","噱"
1362,"cược","噱"
1363,"cước","噱"
1364,"cứ","噱"
1365,"khoái","噲"
1366,"phún","噴"
1367,"cát","噶"
1368,"đốn","噸"
1369,"đang","噹"
1370,"ninh","嚀"
1371,"đạp","嚃"
1372,"hoạch","嚄"
1373,"nhu","嚅"
1374,"suỷ","嚅"
1375,"cao","嚆"
1376,"hao","嚆"
1377,"hách","嚇"
1378,"tễ","嚌"
1379,"hào","嚎"
1380,"đế","嚏"
1381,"thường","嚐"
1382,"lỗ","嚕"
1383,"ngân","嚚"
1384,"yên","嚥"
1385,"yết","嚥"
1386,"lịch","嚦"
1387,"lung","嚨"
1388,"tần","嚬"
1389,"bỉ","嚭"
1390,"đả","嚲"
1391,"đoạ","嚲"
1392,"khốc","嚳"
1393,"nghiêm","嚴"
1394,"anh","嚶"
1395,"nhương","嚷"
1396,"nhượng","嚷"
1397,"nhưỡng","嚷"
1398,"tước","嚼"
1399,"chuyên","囀"
1400,"chuyển","囀"
1401,"chuyến","囀"
1402,"chiếp","囁"
1403,"nhiếp","囁"
1404,"hiêu","囂"
1405,"xiển","囅"
1406,"nghệ","囈"
1407,"la","囉"
1408,"nang","囊"
1409,"tô","囌"
1410,"hỉ","囍"
1411,"hỷ","囍"
1412,"chúc","囑"
1413,"khiết","囓"
1414,"vi","囗"
1415,"tù","囚"
1416,"tứ","四"
1417,"kiển","囝"
1418,"hồi","回"
1419,"thông","囟"
1420,"tín","囟"
1421,"nhân","因"
1422,"nám","囡"
1,"quyết","吷"
2,"trước","着"
3,"bị","鞁"
4,"tịnh","凈"
5,"khả","笴"
6,"cù","絇"
7,"toản","儹"
8,"loan","圞"
9,"cân","觔"
10,"minh","冥"
11,"đầu","酘"
12,"vực","緎"
13,"kì","鬿"
14,"kê","咭"
15,"hi","郗"
16,"sâm","葠"
17,"gia","豭"
18,"dần","殥"
19,"đát","呾"
20,"châm","枮"
21,"hoàn","鐶"
22,"soạn","饌"
23,"giảo","珓"
24,"giảo","筊"
25,"thệ","簭"
26,"dũng","踊"
27,"dận","酳"
28,"liêm","薕"
29,"nghiệt","櫱"
30,"nê","臡"
31,"trật","祑"
32,"tê","隮"
33,",","，"
34,".","。"
35,"""","『"
36,"""","』"
37,"linh","○"
38,"nhất","〡"
39,"nhị","〢"
40,"tam","〣"
41,"tứ","〤"
42,"ngũ","〥"
43,"lục","〦"
44,"thất","〧"
45,"bát","〨"
46,"cửu","〩"
47,"nhất","一"
48,"đinh","丁"
49,"thất","七"
50,"vạn","万"
51,"trượng","丈"
52,"tam","三"
53,"thượng","上"
54,"thướng","上"
55,"hạ","下"
56,"kỉ","丌"
57,"kỷ","丌"
58,"bất","不"
59,"dư","与"
60,"dữ","与"
61,"miện","丏"
62,"cái","丐"
63,"sửu","丑"
64,"thả","且"
65,"phi","丕"
66,"thế","世"
67,"khâu","丘"
68,"bính","丙"
69,"thừa","丞"
70,"đâu","丟"
71,"tịnh","並"
72,"cổn","丨"
73,"cá","个"
74,"a","丫"
75,"nha","丫"
76,"trung","中"
77,"trúng","中"
78,"tấn","丮"
79,"phong","丰"
80,"quán","丱"
81,"thảo","丱"
82,"quán","串"
83,"xuyến","串"
84,"chủ","丶"
85,"hoàn","丸"
86,"đan","丹"
87,"chủ","主"
88,"tỉnh","丼"
89,"phiệt","丿"
90,"nghệ","乂"
91,"nãi","乃"
92,"cửu","久"
93,"ao","么"
94,"ma","么"
95,"yêu","么"
96,"chi","之"
97,"sạ","乍"
98,"hồ","乎"
99,"phạp","乏"
100,"bang","乓"
101,"bàng","乓"
102,"quai","乖"
103,"thặng","乘"
104,"thừa","乘"
105,"ất","乙"
106,"khiết","乜"
107,"mã","乜"
108,"niệt","乜"
109,"niết","乜"
110,"cửu","九"
111,"khất","乞"
112,"dã","也"
113,"cơ","乩"
114,"kê","乩"
115,"nhũ","乳"
116,"càn","乾"
117,"kiền","乾"
118,"loạn","亂"
119,"quyết","亅"
120,"liễu","了"
121,"dư","予"
122,"sự","事"
123,"nhị","二"
124,"trữ","亍"
125,"xúc","亍"
126,"vu","于"
127,"vân","云"
128,"hỗ","互"
129,"kì","亓"
130,"kỳ","亓"
131,"ngột","亓"
132,"ngũ","五"
133,"tỉnh","井"
134,"tuyên","亘"
135,"cắng","亙"
136,"ta","些"
137,"á","亞"
138,"cức","亟"
139,"đầu","亠"
140,"vong","亡"
141,"kháng","亢"
142,"giao","交"
143,"hợi","亥"
144,"diệc","亦"
145,"hanh","亨"
146,"hưởng","享"
147,"kinh","京"
148,"đình","亭"
149,"lượng","亮"
150,"hanh","亯"
151,"bạc","亳"
152,"chiên","亶"
153,"đảm","亶"
154,"đàn","亶"
155,"đản","亶"
156,"thiện","亶"
157,"vỉ","亹"
158,"vĩ","亹"
159,"nhân","人"
160,"thập","什"
161,"nhân","仁"
162,"lặc","仂"
163,"đinh","仃"
164,"trắc","仄"
165,"bộc","仆"
166,"phác","仆"
167,"phó","仆"
168,"cừu","仇"
169,"thù","仇"
170,"chưởng","仉"
171,"kỷ","仉"
172,"kim","今"
173,"giới","介"
174,"nhưng","仍"
175,"tử","仔"
176,"sĩ","仕"
177,"tha","他"
178,"trượng","仗"
179,"phó","付"
180,"tiên","仙"
181,"tiên","仚"
182,"đồng","仝"
183,"nhẫn","仞"
184,"thiên","仟"
185,"ngật","仡"
186,"ức","仡"
187,"đại","代"
188,"lệnh","令"
189,"linh","令"
190,"lịnh","令"
191,"dĩ","以"
192,"ta","仨"
193,"tam","仨"
194,"ngưỡng","仰"
195,"nhạng","仰"
196,"trọng","仲"
197,"tỷ","仳"
198,"ngoạt","仴"
199,"nguyệt","仴"
200,"ngỗ","仵"
201,"kiện","件"
202,"giá","价"
203,"giới","价"
204,"nhâm","任"
205,"nhậm","任"
206,"nhiệm","任"
207,"phần","份"
208,"phang","仿"
209,"phảng","仿"
210,"xí","企"
211,"điếu","伄"
212,"tuân","伅"
213,"tâm","伈"
214,"tẩm","伈"
215,"y","伊"
216,"cấp","伋"
217,"ngũ","伍"
218,"kĩ","伎"
219,"kỹ","伎"
220,"phục","伏"
221,"phạt","伐"
222,"hưu","休"
223,"cân","伒"
224,"phu","伕"
225,"ưu","优"
226,"hoả","伙"
227,"vân","伝"
228,"nha","伢"
229,"bá","伯"
230,"cô","估"
231,"cổ","估"
232,"cố","估"
233,"bạn","伴"
234,"linh","伶"
235,"thân","伸"
236,"tứ","伺"
237,"tý","伺"
238,"bình","伻"
239,"tự","似"
240,"ca","伽"
241,"già","伽"
242,"phi","伾"
243,"thứ","伾"
244,"điền","佃"
245,"đản","但"
246,"đãn","但"
247,"trữ","佇"
248,"bố","佈"
249,"vị","位"
250,"đê","低"
251,"trụ","住"
252,"trú","住"
253,"tá","佐"
254,"hựu","佑"
255,"hữu","佑"
256,"thể","体"
257,"chiêm","佔"
258,"chiếm","佔"
259,"hà","何"
260,"đà","佗"
261,"xà","佘"
262,"dư","余"
263,"dật","佚"
264,"phật","佛"
265,"tác","作"
266,"cú","佝"
267,"nịnh","佞"
268,"đồng","佟"
269,"nễ","你"
270,"dung","佣"
271,"dụng","佣"
272,"ngoã","佤"
273,"thử","佧"
274,"bội","佩"
275,"lão","佬"
276,"dương","佯"
277,"bách","佰"
278,"giai","佳"
279,"nhị","佴"
280,"tinh","併"
281,"tính","併"
282,"cát","佶"
283,"quỉ","佹"
284,"quỷ","佹"
285,"thuyên","佺"
286,"điêu","佻"
287,"diêu","佻"
288,"giảo","佼"
289,"thứ","佽"
290,"dật","佾"
291,"sử","使"
292,"sứ","使"
293,"thuyên","侁"
294,"khản","侃"
295,"chất","侄"
296,"điệt","侄"
297,"lai","來"
298,"lật","侇"
299,"xỉ","侈"
300,"khoả","侉"
301,"lệ","例"
302,"thị","侍"
303,"chu","侏"
304,"thù","侏"
305,"hựu","侑"
306,"mâu","侔"
307,"lôn","侖"
308,"luân","侖"
309,"đồng","侗"
310,"sá","侘"
311,"tuẫn","侚"
312,"cung","供"
313,"cúng","供"
314,"chu","侜"
315,"y","依"
316,"vụ","侮"
317,"vũ","侮"
318,"hầu","侯"
319,"đôn","侲"
320,"xâm","侵"
321,"lã","侶"
322,"lữ","侶"
323,"cục","侷"
324,"đĩnh","侹"
325,"tiện","便"
326,"ngu","俁"
327,"yến","俁"
328,"hệ","係"
329,"xúc","促"
330,"nga","俄"
331,"cầu","俅"
332,"di","俅"
333,"tuấn","俊"
334,"trở","俎"
335,"tiêu","俏"
336,"tiếu","俏"
337,"lị","俐"
338,"lỵ","俐"
339,"dõng","俑"
340,"dũng","俑"
341,"quyết","俔"
342,"tục","俗"
343,"phu","俘"
344,"lí","俚"
345,"lý","俚"
346,"phủ","俛"
347,"binh","俜"
348,"bảo","保"
349,"du","俞"
350,"sĩ","俟"
351,"hiệp","俠"
352,"tín","信"
353,"tu","修"
354,"phủ","俯"
355,"câu","俱"
356,"cụ","俱"
357,"bài","俳"
358,"bái","俳"
359,"tiển","俴"
360,"biều","俵"
361,"biểu","俵"
362,"thục","俶"
363,"xúc","俶"
364,"bổng","俸"
365,"phụng","俸"
366,"yêm","俺"
367,"yểm","俺"
368,"tị","俾"
369,"tỵ","俾"
370,"tỉ","俾"
371,"tỷ","俾"
372,"trành","倀"
373,"trương","倀"
374,"thối","倅"
375,"lưỡng","倆"
376,"thương","倉"
377,"cá","個"
378,"quan","倌"
379,"bội","倍"
380,"điều","倏"
381,"thốc","倏"
382,"thúc","倏"
383,"môn","們"
384,"đảo","倒"
385,"quật","倔"
386,"quất","倔"
387,"hạnh","倖"
388,"hãnh","倖"
389,"thảng","倘"
390,"hầu","候"
391,"hậu","候"
392,"ỉ","倚"
393,"ỷ","倚"
394,"thích","倜"
395,"tá","借"
396,"xương","倡"
397,"xướng","倡"
398,"tiệp","倢"
399,"phỏng","倣"
400,"không","倥"
401,"khổng","倥"
402,"quyện","倦"
403,"cứ","倨"
404,"thanh","倩"
405,"thiến","倩"
406,"nghê","倪"
407,"luân","倫"
408,"trác","倬"
409,"nuỵ","倭"
410,"oa","倭"
411,"uy","倭"
412,"nãi","倷"
413,"tụi","倷"
414,"trị","值"
415,"yển","偃"
416,"giả","假"
417,"giá","假"
418,"kệ","偈"
419,"vĩ","偉"
420,"vũ","偊"
421,"bình","偋"
422,"nhạ","偌"
423,"nhược","偌"
424,"ôi","偎"
425,"uỷ","偎"
426,"thiên","偏"
427,"ác","偓"
428,"giai","偕"
429,"hài","偕"
430,"tố","做"
431,"sáp","偛"
432,"đình","停"
433,"kiện","健"
434,"kiến","健"
435,"bức","偪"
436,"y","偯"
437,"ti","偲"
438,"tư","偲"
439,"ty","偲"
440,"trắc","側"
441,"trinh","偵"
442,"ngẫu","偶"
443,"thâu","偷"
444,"quĩ","偺"
445,"quỹ","偺"
446,"nguỵ","偽"
447,"côi","傀"
448,"khổi","傀"
449,"ổi","傀"
450,"phó","傅"
451,"bàng","傍"
452,"điên","傎"
453,"kiệt","傑"
454,"hề","傒"
455,"khiểm","傔"
456,"giác","傕"
457,"sanh","傖"
458,"sương","傖"
459,"thương","傖"
460,"tản","傘"
461,"bị","備"
462,"hiệu","傚"
463,"gia","傢"
464,"thôi","催"
465,"dung","傭"
466,"tao","傮"
467,"tổng","傯"
468,"ngao","傲"
469,"ngạo","傲"
470,"truyền","傳"
471,"truyện","傳"
472,"ủ","傴"
473,"trái","債"
474,"thương","傷"
475,"sế","傺"
476,"xoạ","傻"
477,"khuynh","傾"
478,"lũ","僂"
479,"vặn","僂"
480,"phiêu","僄"
481,"cận","僅"
482,"lục","僇"
483,"thiêm","僉"
484,"quyện","僊"
485,"tiên","僊"
486,"tốn","僎"
487,"tượng","像"
488,"kiều","僑"
489,"bộc","僕"
490,"hi","僖"
491,"hy","僖"
492,"liêu","僚"
493,"sạn","僝"
494,"thế","僣"
495,"thiết","僣"
496,"kiểu","僥"
497,"nghiêu","僥"
498,"nhiêu","僥"
499,"tựu","僦"
500,"tăng","僧"
501,"phẫn","僨"
502,"dản","僩"
503,"nhàn","僩"
504,"tiêu","僬"
505,"tiếm","僭"
506,"đồng","僮"
507,"cổ","僱"
508,"cố","僱"
509,"cương","僵"
510,"mẫn","僶"
511,"giá","價"
512,"tịch","僻"
513,"tích","僻"
514,"sậu","僽"
515,"trừu","僽"
516,"ái","僾"
517,"tái","僿"
518,"nghi","儀"
519,"nông","儂"
520,"ức","億"
521,"đương","儅"
522,"cảnh","儆"
523,"hoàn","儇"
524,"huyên","儇"
525,"cối","儈"
526,"quái","儈"
527,"kiệm","儉"
528,"kiêu","儌"
529,"tân","儐"
530,"tấn","儐"
531,"nho","儒"
532,"nhu","儒"
533,"trù","儔"
534,"sài","儕"
535,"nghĩ","儗"
536,"tận","儘"
537,"tẩn","儘"
538,"tẫn","儘"
539,"vểnh","儚"
540,"thường","償"
541,"lỗi","儡"
542,"bạo","儤"
543,"mạn","儤"
544,"tứ","儩"
545,"ưu","優"
546,"sấn","儭"
547,"trừ","儲"
548,"trừu","儲"
549,"quỳnh","儵"
550,"lệ","儷"
551,"la","儸"
552,"na","儺"
553,"thảng","儻"
554,"nghiễm","儼"
555,"lỗi","儽"
556,"nhân","儿"
557,"nhi","儿"
558,"ngột","兀"
559,"uông","兀"
560,"doãn","允"
561,"duẫn","允"
562,"nguyên","元"
563,"huynh","兄"
564,"sung","充"
565,"triệu","兆"
566,"hung","兇"
567,"tiên","先"
568,"quang","光"
569,"khắc","克"
570,"đoài","兌"
571,"đoái","兌"
572,"miễn","免"
573,"nhi","兒"
574,"thố","兔"
575,"thỏ","兔"
576,"chuỷ","兕"
577,"huỷ","兕"
578,"tự","兕"
579,"duyện","兗"
580,"thập","兙"
581,"đảng","党"
582,"thiên","兛"
583,"đâu","兜"
584,"phân","兝"
585,"mao","兞"
586,"căng","兢"
587,"li","兣"
588,"ly","兣"
589,"nhập","入"
590,"nội","內"
591,"toàn","全"
592,"lạng","兩"
593,"lưỡng","兩"
594,"bát","八"
595,"công","公"
596,"lục","六"
597,"hề","兮"
598,"cộng","共"
599,"binh","兵"
600,"kỳ","其"
601,"cụ","具"
602,"điển","典"
603,"kiêm","兼"
604,"kí","冀"
605,"ký","冀"
606,"quynh","冂"
607,"hữu","冇"
608,"nhiễm","冉"
609,"sách","冊"
610,"tái","再"
611,"trụ","冑"
612,"mạo","冒"
613,"cấu","冓"
614,"hu","冔"
615,"miện","冕"
616,"mịch","冖"
617,"nhũng","冗"
618,"võng","冗"
619,"thẩm","冘"
620,"quan","冠"
621,"quán","冠"
622,"trủng","冢"
623,"oan","冤"
624,"mịch","冪"
625,"băng","冫"
626,"đông","冬"
627,"băng","冰"
628,"hỗ","冱"
629,"dã","冶"
630,"lãnh","冷"
631,"liệt","冽"
632,"chuẩn","准"
633,"sảnh","凊"
634,"điêu","凋"
635,"lăng","凌"
636,"đống","凍"
637,"sương","凔"
638,"tư","凘"
639,"lẫm","凜"
640,"ngưng","凝"
641,"cơ","几"
