unicode,chars,vietnamese,meanings
"5256","剖","phẫu","(td Nôm chưa có nội dung)"
"5259","剙","sáng","(td Nôm chưa có nội dung)"
"525B","剛","cang","(td Nôm chưa có nội dung)"
"525B","剛","cương","(td Nôm chưa có nội dung)"
"525C","剜","uyển","(td Nôm chưa có nội dung)"
"525D","剝","bóc","(td Nôm chưa có nội dung)"
"5265","剥","bác","(td Nôm chưa có nội dung)"
"5265","剥","bóc","(td Nôm chưa có nội dung)"
"5267","剧","cưa","(td Nôm chưa có nội dung)"
"5267","剧","kịch","(td Nôm chưa có nội dung)"
"5269","剩","thặng","(td Nôm chưa có nội dung)"
"526A","剪","tiễn","(td Nôm chưa có nội dung)"
"526A","剪","tiện","(td Nôm chưa có nội dung)"
"526E","剮","qua","(td Nôm chưa có nội dung)"
"526F","副","pho","(td Nôm chưa có nội dung)"
"526F","副","phó","(td Nôm chưa có nội dung)"
"5272","割","cát","(td Nôm chưa có nội dung)"
"5272","割","cắt","(td Nôm chưa có nội dung)"
"5272","割","xắt","(td Nôm chưa có nội dung)"
"5274","剴","khải","(td Nôm chưa có nội dung)"
"5275","創","sang","(td Nôm chưa có nội dung)"
"5275","創","sáng","(td Nôm chưa có nội dung)"
"5277","剷","sản","(td Nôm chưa có nội dung)"
"5277","剷","xẻng","(td Nôm chưa có nội dung)"
"527D","剽","phiêu","(td Nôm chưa có nội dung)"
"527F","剿","thẹo","(td Nôm chưa có nội dung)"
"527F","剿","tiễu","(td Nôm chưa có nội dung)"
"527F","剿","tĩu","(td Nôm chưa có nội dung)"
"5282","劂","khoét","(td Nôm chưa có nội dung)"
"5283","劃","đạch","(td Nôm chưa có nội dung)"
"5283","劃","hoa","(td Nôm chưa có nội dung)"
"5283","劃","hoạch","(td Nôm chưa có nội dung)"
"5283","劃","vạch","(td Nôm chưa có nội dung)"
"5284","劄","chép","(td Nôm chưa có nội dung)"
"5284","劄","trát","(td Nôm chưa có nội dung)"
"5287","劇","cạch","(td Nôm chưa có nội dung)"
"5287","劇","kếch","(td Nôm chưa có nội dung)"
"5287","劇","kệch","(td Nôm chưa có nội dung)"
"5287","劇","kịch","(td Nôm chưa có nội dung)"
"5288","劈","phách","(td Nôm chưa có nội dung)"
"5289","劉","lưu","(td Nôm chưa có nội dung)"
"528A","劊","quái","(td Nôm chưa có nội dung)"
"528D","劍","chém","(td Nôm chưa có nội dung)"
"528D","劍","ghém","(td Nôm chưa có nội dung)"
"528D","劍","gươm","(td Nôm chưa có nội dung)"
"528D","劍","kém","(td Nôm chưa có nội dung)"
"528D","劍","kiếm","(td Nôm chưa có nội dung)"
"528D","劍","sớm","(td Nôm chưa có nội dung)"
"528E","劎","kiếm","(td Nôm chưa có nội dung)"
"5291","劑","tễ","(td Nôm chưa có nội dung)"
"5293","劓","nghị","(td Nôm chưa có nội dung)"
"5295","劕","chặt","(td Nôm chưa có nội dung)"
"529B","力","lực","(td Nôm chưa có nội dung)"
"529B","力","sức","(td Nôm chưa có nội dung)"
"529B","力","sực","(td Nôm chưa có nội dung)"
"529B","力","sựt","(td Nôm chưa có nội dung)"
"529D","劝","khuyến","(td Nôm chưa có nội dung)"
"529E","办","biện","(td Nôm chưa có nội dung)"
"529F","功","công","(td Nôm chưa có nội dung)"
"52A0","加","chơ","(td Nôm chưa có nội dung)"
"52A0","加","gia","(td Nôm chưa có nội dung)"
"52A1","务","mùa","(td Nôm chưa có nội dung)"
"52A1","务","vụ","(td Nôm chưa có nội dung)"
"52A3","劣","lẹt","(td Nôm chưa có nội dung)"
"52A3","劣","liệt","(td Nôm chưa có nội dung)"
"52A8","动","động","(td Nôm chưa có nội dung)"
"52A9","助","chợ","(td Nôm chưa có nội dung)"
"52A9","助","chữa","(td Nôm chưa có nội dung)"
"52A9","助","đợ","(td Nôm chưa có nội dung)"
"52A9","助","rợ","(td Nôm chưa có nội dung)"
"52A9","助","trợ","(td Nôm chưa có nội dung)"
"52AA","努","nỗ","(td Nôm chưa có nội dung)"
"52AB","劫","cướp","(td Nôm chưa có nội dung)"
"52AB","劫","kiếp","(td Nôm chưa có nội dung)"
"52AC","劬","cù","(td Nôm chưa có nội dung)"
"52AD","劭","thiệu","(td Nôm chưa có nội dung)"
"52B2","劲","kình","(td Nôm chưa có nội dung)"
"52B3","劳","lao","(td Nôm chưa có nội dung)"
"52B3","劳","lạo","(td Nôm chưa có nội dung)"
"52B8","劸","khoẻ","(td Nôm chưa có nội dung)"
"52B9","効","hiệu","(td Nôm chưa có nội dung)"
"52BC","劼","cật","(td Nôm chưa có nội dung)"
"52BE","劾","hặc","(td Nôm chưa có nội dung)"
"52BE","劾","hạch","(td Nôm chưa có nội dung)"
"52BE","劾","hếch","(td Nôm chưa có nội dung)"
"52BE","劾","hệch","(td Nôm chưa có nội dung)"
"52BF","势","thế","(td Nôm chưa có nội dung)"
"52C1","勁","cứng","(td Nôm chưa có nội dung)"
"52C1","勁","kình","(td Nôm chưa có nội dung)"
"52C3","勃","bột","(td Nôm chưa có nội dung)"
"52C7","勇","dõng","(td Nôm chưa có nội dung)"
"52C7","勇","dũng","(td Nôm chưa có nội dung)"
"52C7","勇","rụng","(td Nôm chưa có nội dung)"
"52C7","勇","xõng","(td Nôm chưa có nội dung)"
"52C9","勉","mến","(td Nôm chưa có nội dung)"
"52C9","勉","miễn","(td Nôm chưa có nội dung)"
"52C9","勉","mịn","(td Nôm chưa có nội dung)"
"52CB","勋","huân","(td Nôm chưa có nội dung)"
"52CD","勍","kình","(td Nôm chưa có nội dung)"
"52D1","勑","sắc","(td Nôm chưa có nội dung)"
"52D2","勒","lấc","(td Nôm chưa có nội dung)"
"52D2","勒","lắc","(td Nôm chưa có nội dung)"
"52D2","勒","lặc","(td Nôm chưa có nội dung)"
"52D2","勒","lất","(td Nôm chưa có nội dung)"
"52D5","動","động","(td Nôm chưa có nội dung)"
"52D5","動","đụng","(td Nôm chưa có nội dung)"
"52D6","勖","húc","(td Nôm chưa có nội dung)"
"52D6","勖","hục","(td Nôm chưa có nội dung)"
"52D8","勘","khám","(td Nôm chưa có nội dung)"
"52D8","勘","khóm","(td Nôm chưa có nội dung)"
"52D9","務","mùa","(td Nôm chưa có nội dung)"
"52D9","務","vụ","(td Nôm chưa có nội dung)"
"52DB","勛","huân","(td Nôm chưa có nội dung)"
"52DD","勝","sền","(td Nôm chưa có nội dung)"
"52DD","勝","thắng","(td Nôm chưa có nội dung)"
"52DE","勞","lao","(td Nôm chưa có nội dung)"
"52DE","勞","lạo","(td Nôm chưa có nội dung)"
"52DE","勞","lau","(td Nôm chưa có nội dung)"
